epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
64,2062.57,1.25923,2.05636,1.5614,0.00902,0.7947,0.26784,0.29054,0.19112,0.09711,0.28979,0.25676,0.17611,0.05816,1.91651,2.9424,2.38345,0.00716,0,0.0003763,0.0003763,0.0003763
65,2103.47,1.32727,2.13344,1.62494,0.00946,0.87168,0.26728,0.30316,0.20134,0.09982,0.3034,0.27703,0.18872,0.0622,1.92514,2.95121,2.33805,0.00727,0,0.0003664,0.0003664,0.0003664
66,2149.62,1.30793,2.16977,1.64279,0.0093,0.81116,0.26875,0.31757,0.20529,0.1029,0.31512,0.27027,0.20028,0.06553,1.92988,2.95814,2.30354,0.00726,0,0.0003565,0.0003565,0.0003565
67,2195.39,1.30029,2.1073,1.59391,0.00916,0.82166,0.28695,0.32432,0.21565,0.10822,0.32781,0.27019,0.20603,0.07077,1.9141,2.97274,2.2908,0.00711,0,0.0003466,0.0003466,0.0003466
68,2240.24,1.20185,1.96166,1.51353,0.00857,0.77818,0.30751,0.33784,0.22728,0.11494,0.34496,0.27027,0.20745,0.07171,1.90134,2.8888,2.27004,0.00701,0,0.0003367,0.0003367,0.0003367
69,2276.75,1.23096,2.11599,1.64236,0.00886,0.9199,0.29055,0.33784,0.22506,0.11074,0.28491,0.28378,0.19917,0.06778,1.89642,2.87159,2.27422,0.00698,0,0.0003268,0.0003268,0.0003268
70,2315.53,1.21402,2.11771,1.5812,0.00907,0.83598,0.28745,0.34459,0.22031,0.10804,0.28605,0.28378,0.20248,0.06854,1.92756,2.84597,2.25867,0.00722,0,0.0003169,0.0003169,0.0003169
71,2368.47,1.26988,2.13742,1.56863,0.00938,0.83423,0.27552,0.33784,0.22023,0.10751,0.28845,0.30405,0.20595,0.06896,1.92361,2.83292,2.27791,0.00709,0,0.000307,0.000307,0.000307
72,2413.99,1.22048,2.15379,1.62693,0.00975,0.7875,0.28997,0.33108,0.20576,0.10259,0.27374,0.31081,0.19736,0.06769,1.91323,2.82501,2.33465,0.00706,0,0.0002971,0.0002971,0.0002971
73,2458.22,1.23169,2.17061,1.59178,0.0086,0.84366,0.28727,0.30775,0.20343,0.10211,0.25755,0.27658,0.18363,0.06429,1.90711,2.84202,2.38197,0.00705,0,0.0002872,0.0002872,0.0002872
74,2496.57,1.20652,2.06297,1.51034,0.00792,0.70408,0.28779,0.29214,0.19563,0.09984,0.26218,0.27027,0.17714,0.0624,1.90603,2.87461,2.42421,0.0071,0,0.0002773,0.0002773,0.0002773
75,2530.94,1.25518,2.18308,1.58667,0.00995,0.73048,0.29414,0.28378,0.18826,0.09567,0.25205,0.25676,0.1739,0.06054,1.89792,2.85696,2.45771,0.0071,0,0.0002674,0.0002674,0.0002674
76,2567.88,1.17691,2.03049,1.62829,0.00898,0.80381,0.23713,0.26465,0.17294,0.09049,0.25161,0.25676,0.16866,0.05877,1.89186,2.79014,2.49963,0.00716,0,0.0002575,0.0002575,0.0002575
77,2605.08,1.21169,2.08013,1.54406,0.0082,0.9772,0.22756,0.24324,0.16716,0.0882,0.22756,0.24324,0.16136,0.05808,1.88044,2.79063,2.51598,0.00705,0,0.0002476,0.0002476,0.0002476
78,2642.65,1.28096,2.08574,1.60838,0.00904,1.07833,0.21653,0.23649,0.1662,0.08807,0.24011,0.24324,0.17168,0.05989,1.89227,2.76934,2.51832,0.00719,0,0.0002377,0.0002377,0.0002377
79,2679.62,1.23696,2.03151,1.55038,0.00908,0.80754,0.21794,0.23649,0.16644,0.08765,0.22961,0.23649,0.15981,0.05865,1.88143,2.7523,2.53124,0.00715,0,0.0002278,0.0002278,0.0002278
80,2721.34,1.27639,2.01225,1.54665,0.00858,0.73969,0.24488,0.25676,0.16759,0.08753,0.23843,0.25,0.16043,0.05981,1.85665,2.74311,2.58447,0.00681,0,0.0002179,0.0002179,0.0002179
81,2766.93,1.19853,2.00768,1.51879,0.00879,0.81038,0.2634,0.27027,0.17562,0.08909,0.23947,0.25,0.16221,0.05938,1.87474,2.73746,2.56206,0.00689,0,0.000208,0.000208,0.000208
82,2818.81,1.19808,1.99065,1.45177,0.00844,0.87779,0.26337,0.27027,0.17238,0.08994,0.25099,0.25,0.16583,0.05883,1.88078,2.72876,2.54802,0.00689,0,0.0001981,0.0001981,0.0001981
83,2866.7,1.25131,2.07847,1.59735,0.00845,0.82412,0.26893,0.27027,0.17161,0.08996,0.24958,0.24945,0.16522,0.05972,1.88789,2.72775,2.54789,0.00689,0,0.0001882,0.0001882,0.0001882
84,2913.79,1.22872,2.06459,1.5708,0.00864,0.83503,0.25384,0.25,0.17484,0.09154,0.25384,0.25,0.16088,0.0596,1.89081,2.70883,2.52569,0.00691,0,0.0001783,0.0001783,0.0001783
85,2957.09,1.21625,2.022,1.47289,0.00844,0.75472,0.25647,0.25676,0.17722,0.0922,0.25708,0.25676,0.16156,0.06027,1.90348,2.69448,2.51542,0.007,0,0.0001684,0.0001684,0.0001684
86,2994.49,1.23043,2.07287,1.57188,0.00835,0.75514,0.25479,0.25676,0.17899,0.09337,0.25625,0.25676,0.16361,0.06078,1.90088,2.69375,2.50247,0.00698,0,0.0001585,0.0001585,0.0001585
87,3040.73,1.22954,2.09535,1.52683,0.00954,0.87373,0.25583,0.25676,0.18024,0.09351,0.25662,0.25676,0.1664,0.06105,1.89024,2.69087,2.51203,0.00695,0,0.0001486,0.0001486,0.0001486
88,3091.07,1.17305,1.99624,1.43794,0.00786,0.70213,0.26184,0.25676,0.17903,0.09315,0.26445,0.25676,0.17069,0.06188,1.90533,2.67591,2.5157,0.00705,0,0.0001387,0.0001387,0.0001387
